X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,log(area+1),sin(area)
7,5,mar,fri,86.2,26.2,94.3,5.1,8.2,51,6.7,0.0,0.0076100917184779935,0.007581281046080948,0.0076100182641880235
7,4,oct,tue,90.6,35.4,669.1,6.7,18.0,33,0.9,0.0,0.0015998792194387714,0.0015986007760686665,0.0015998785369267796
7,4,oct,sat,90.6,43.7,686.9,6.7,14.6,33,1.3,0.0,0.004798113929855987,0.004786639669780795,0.00479809551959617
8,6,mar,fri,91.7,33.3,77.5,9.0,8.3,97,4.0,0.2,0.006451597867231602,0.0064308753906807915,0.006451553111391376
8,6,mar,sun,89.3,51.3,102.2,9.6,11.4,99,1.8,0.0,0.007522279867524221,0.007494128606620889,0.00752220892674034
8,6,aug,sun,92.3,85.3,488.0,14.7,22.2,29,5.4,0.0,0.0031433640818332165,0.0031384340415304525,0.003143358905376416
8,6,aug,mon,92.3,88.9,495.6,8.5,24.1,27,3.1,0.0,0.008673997041112198,0.00863659406204264,0.008673888272165017
8,6,aug,mon,91.5,145.4,608.2,10.7,8.0,86,2.2,0.0,0.0076754482283947845,0.00764614183989314,0.007675372865302439
8,6,sep,tue,91.0,129.5,692.6,7.0,13.1,63,5.4,0.0,0.0014830078170462793,0.0014819092469447782,0.001483007273446812
7,5,sep,sat,92.5,88.0,698.6,7.1,22.8,40,4.0,0.0,0.0024733881080899,0.0024703343181584933,0.002473385586204067
7,5,sep,sat,92.5,88.0,698.6,7.1,17.8,51,7.2,0.0,0.008132601528382891,0.008099710132648633,0.008132511881375854
7,5,sep,sat,92.8,73.2,713.0,22.6,19.3,38,4.0,0.0,0.004539968341818112,0.004529693771292326,0.004539952746049778
6,5,aug,fri,63.5,70.8,665.3,0.8,17.0,72,6.7,0.0,0.0003903546256367567,0.00039027845709105303,0.00039035461572326294
6,5,sep,mon,90.9,126.5,686.5,7.0,21.3,42,2.2,0.0,0.0019588680383256004,0.0019569519581538832,0.0019588667855761905
6,5,sep,wed,92.9,133.3,699.6,9.2,26.4,21,4.5,0.0,0.0038133924577089494,0.00380613990872031,0.003813383215347611
6,5,sep,fri,93.3,141.2,713.9,13.9,22.9,44,5.4,0.0,0.00649053350744625,0.006469560695750031,0.006490487936397455
5,5,mar,sat,91.7,35.8,80.8,7.8,15.1,27,5.4,0.0,0.0026646915106844343,0.0026611475146356843,0.002664688357209303
8,5,oct,mon,84.9,32.8,664.2,3.0,16.7,47,4.9,0.0,0.0017054937465430225,0.0017040410435659958,0.001705492919745664
6,4,mar,wed,89.2,27.9,70.8,6.3,15.9,35,4.0,0.0,0.007928631451326029,0.007897365010966656,0.007928548381734062
6,4,apr,sat,86.3,27.4,97.1,5.1,9.3,44,4.5,0.0,0.00505621140937489,0.005043471697538768,0.0050561898654975694
6,4,sep,tue,91.0,129.5,692.6,7.0,18.3,40,2.7,0.0,0.008359437553943794,0.008324690962844094,0.00835934019442788
5,4,sep,mon,91.8,78.5,724.3,9.2,19.1,38,2.7,0.0,0.003361397195174661,0.003355760327923957,0.0033613908651120698
7,4,jun,sun,94.3,96.3,200.0,56.1,21.0,44,4.5,0.0,0.002467831360430788,0.0024647912652199077,0.002467828855503904
7,4,aug,sat,90.2,110.9,537.4,6.2,19.5,43,5.8,0.0,0.006596714030361573,0.0065750509303571575,0.006596666185998467
7,4,aug,sat,93.5,139.4,594.2,20.3,23.7,32,5.8,0.0,0.003232255502968087,0.0032270429942362574,0.0032322498748192574
7,4,aug,sun,91.4,142.4,601.4,10.6,16.3,60,5.4,0.0,0.009692077987281346,0.009645411089942288,0.009691926248214165
7,4,sep,fri,92.4,117.9,668.0,12.2,19.0,34,5.8,0.0,0.004866775558800461,0.004854971090934959,0.00486675634681761
7,4,sep,mon,90.9,126.5,686.5,7.0,19.4,48,1.3,0.0,0.00450957766443689,0.0044994399854222464,0.004509562379772037
6,3,sep,sat,93.4,145.4,721.4,8.1,30.2,24,2.7,0.0,0.005755728514199292,0.005739227595098646,0.005755696734562222
6,3,sep,sun,93.5,149.3,728.6,8.1,22.8,39,3.6,0.0,0.005617203459794566,0.005601485804482143,0.005617173919928053
6,3,sep,fri,94.3,85.1,692.3,15.9,25.4,24,3.6,0.0,0.008905954965795626,0.008866530848909203,0.00890583723542493
6,3,sep,mon,88.6,91.8,709.9,7.1,11.2,78,7.6,0.0,0.007161425287007578,0.007135904054099463,0.007161364073673845
6,3,sep,fri,88.6,69.7,706.8,5.8,20.6,37,1.8,0.0,0.0021855735008561392,0.0021831886093640327,0.00218557176087358
6,3,sep,sun,91.7,75.6,718.3,7.8,17.7,39,3.6,0.0,0.005188056790913642,0.005174645191042582,0.005188033517379903
6,3,sep,mon,91.8,78.5,724.3,9.2,21.2,32,2.7,0.0,0.008109115580971724,0.008076413374910857,0.008109026708390638
6,3,sep,tue,90.3,80.7,730.2,6.3,18.2,62,4.5,0.0,0.006694477245284816,0.006672168739667366,0.0066944272420862766
6,3,oct,tue,90.6,35.4,669.1,6.7,21.7,24,4.5,0.0,0.004527381507942017,0.0045171637444844474,0.004527366041529748
7,4,oct,fri,90.0,41.5,682.6,8.7,11.3,60,5.4,0.0,0.006100726190766242,0.006082192103467704,0.0061006883471576125
7,3,oct,sat,90.6,43.7,686.9,6.7,17.8,27,4.0,0.0,0.0004568249262017123,0.0004567206134624352,0.0004568249103126553
4,4,mar,tue,88.1,25.7,67.6,3.8,14.1,43,2.7,0.0,0.008936372685538329,0.008896679606647135,0.008936253744744462
4,4,jul,tue,79.5,60.6,366.7,1.5,23.3,37,3.1,0.0,0.0008838153661936861,0.0008834250313652295,0.0008838152511312998
4,4,aug,sat,90.2,96.9,624.2,8.9,18.4,42,6.7,0.0,0.004615100023995291,0.00460448310278314,0.004615083641062819
4,4,aug,tue,94.8,108.3,647.1,17.0,16.6,54,5.4,0.0,0.0004367884506502485,0.00043669308634323577,0.0004367884367615297
4,4,sep,sat,92.5,88.0,698.6,7.1,19.6,48,2.7,0.0,0.005278446040028502,0.005264563873147944,0.005278421528725233
4,4,sep,wed,90.1,82.9,735.7,6.2,12.9,74,4.9,0.0,0.00899967321940583,0.008959417505617436,0.008999551733131949
5,6,sep,wed,94.3,85.1,692.3,15.9,25.9,24,4.0,0.0,0.00498792886179269,0.004975530356112075,0.004987908179010326
5,6,sep,mon,90.9,126.5,686.5,7.0,14.7,70,3.6,0.0,0.00901698300565784,0.008976572751783683,0.009016860817044127
6,6,jul,mon,94.2,62.3,442.9,11.0,23.0,36,3.1,0.0,0.00897626705651167,0.008936219842624545,0.008976146515649092
4,4,mar,mon,87.2,23.9,64.7,4.1,11.8,35,1.8,0.0,0.0067093490329960745,0.006686941521478427,0.006709298695810719
4,4,mar,mon,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0,0.002706990396468429,0.002703333096662098,0.0027069870904236197
4,4,sep,thu,92.9,137.0,706.4,9.2,20.8,17,1.3,0.0,0.0021928774993633282,0.0021904766527008706,0.0021928757418777927
4,3,aug,sun,90.2,99.6,631.2,6.3,21.5,34,2.2,0.0,0.0007947381189724826,0.0007944224818551922,0.0007947380353119032
4,3,aug,wed,92.1,111.2,654.1,9.6,20.4,42,4.9,0.0,0.006216582331017425,0.006197339093347089,0.006216542290195882
4,3,aug,wed,92.1,111.2,654.1,9.6,20.4,42,4.9,0.0,0.006206350579164426,0.00618717050334978,0.006206310735724632
4,3,aug,thu,91.7,114.3,661.3,6.3,17.6,45,3.6,0.0,0.00956262561564676,0.009517193117656761,0.009562479875828589
4,3,sep,thu,92.9,137.0,706.4,9.2,27.7,24,2.2,0.0,0.005209077279958568,0.005195556968809749,0.005209053722384681
4,3,sep,tue,90.3,80.7,730.2,6.3,17.8,63,4.9,0.0,0.002910489976369859,0.0029062627007278947,0.0029104858672681657
4,3,oct,sun,92.6,46.5,691.8,8.8,13.8,50,2.7,0.0,0.009157783911041543,0.009116105668278474,0.00915765590864427
2,2,feb,mon,84.0,9.3,34.0,2.1,13.9,40,5.4,0.0,0.00306405004573462,0.003059365411256814,0.003064045251314259
2,2,feb,fri,86.6,13.2,43.0,5.3,12.3,51,0.9,0.0,0.00730995819417392,0.0072833699438148315,0.007309893092482988
2,2,mar,sun,89.3,51.3,102.2,9.6,11.5,39,5.8,0.0,0.004454290844535318,0.004444399851767166,0.00445427611517006
2,2,mar,sun,89.3,51.3,102.2,9.6,5.5,59,6.3,0.0,0.004899810140204608,0.00488784513873949,0.004899790534340654
2,2,aug,thu,93.0,75.3,466.6,7.7,18.8,35,4.9,0.0,0.002935853876820405,0.0029315526742392573,0.0029358496593516795
2,2,aug,sun,90.2,99.6,631.2,6.3,20.8,33,2.7,0.0,0.005383552044824573,0.005369112529254165,0.00538352603994374
2,2,aug,mon,91.1,103.2,638.8,5.8,23.1,31,3.1,0.0,0.0023404474243495076,0.002337712843207626,0.0023404452876409003
2,2,aug,thu,91.7,114.3,661.3,6.3,18.6,44,4.5,0.0,0.007273069659449485,0.0072467484353252705,0.007273005538367452
2,2,sep,fri,92.4,117.9,668.0,12.2,23.0,37,4.5,0.0,0.003165944177370865,0.0031609431286842345,0.0031659388885568983
2,2,sep,fri,92.4,117.9,668.0,12.2,19.6,33,5.4,0.0,0.009451084812638521,0.009406702730647016,0.009450944113385606
2,2,sep,fri,92.4,117.9,668.0,12.2,19.6,33,6.3,0.0,0.0009178923112118652,0.0009174713056698447,0.0009178921823204693
4,5,mar,fri,91.7,33.3,77.5,9.0,17.2,26,4.5,0.0,0.00901172572598308,0.008971362439708365,0.00901160375096748
4,5,mar,fri,91.2,48.3,97.8,12.5,15.8,27,7.6,0.0,0.0014434762011734867,0.0014424353908713346,0.001443475699896706
4,5,sep,fri,94.3,85.1,692.3,15.9,17.7,37,3.6,0.0,0.0041281629970564716,0.004119665510171142,0.00412815127189345
5,4,mar,fri,91.7,33.3,77.5,9.0,15.6,25,6.3,0.0,0.0012300886953977488,0.0012293327561498626,0.0012300883851861738
5,4,aug,tue,88.8,147.3,614.5,9.0,17.3,43,4.5,0.0,0.0006267418010806863,0.0006265454804619088,0.0006267417600494384
5,4,sep,fri,93.3,141.2,713.9,13.9,27.6,30,1.3,0.0,0.000558175984959405,0.0005580202626884978,0.0005581759559751471
9,9,feb,thu,84.2,6.8,26.6,7.7,6.7,79,3.1,0.0,0.0004563108346536652,0.00045620675652478755,0.00045631081881819047
9,9,feb,fri,86.6,13.2,43.0,5.3,15.7,43,3.1,0.0,0.009076014675913287,0.009035075179907651,0.009075890071756878
1,3,mar,mon,87.6,52.2,103.8,5.0,8.3,72,3.1,0.0,0.0042785920218385435,0.0042694648719661605,0.00427857896761687
1,2,aug,fri,90.1,108.0,529.8,12.5,14.7,66,2.7,0.0,0.004716010129407304,0.004704924592975409,0.004715992648158485
1,2,aug,tue,91.0,121.2,561.6,7.0,21.6,19,6.7,0.0,0.00934887755883134,0.009305447276119925,0.009348741375088059
1,2,aug,sun,91.4,142.4,601.4,10.6,19.5,39,6.3,0.0,0.008620164660002958,0.008583223183224832,0.008620057903627333
1,2,aug,sun,90.2,99.6,631.2,6.3,17.9,44,2.2,0.0,0.005331535445528435,0.00531737312606219,0.005331510187175058
1,2,aug,tue,94.8,108.3,647.1,17.0,18.6,51,4.5,0.0,0.006635697251442179,0.00661377792567767,0.0066356485538505055
1,2,aug,wed,92.1,111.2,654.1,9.6,16.6,47,0.9,0.0,0.002054404758177489,0.0020522973545353254,0.0020544033130482277
1,2,aug,thu,91.7,114.3,661.3,6.3,20.2,45,3.6,0.0,0.0011257733718251367,0.0011251401641703663,0.0011257731340307284
1,2,sep,thu,92.9,137.0,706.4,9.2,21.5,15,0.9,0.0,0.008489208000874462,0.00845337731458977,0.0084891060364414
1,2,sep,thu,92.9,137.0,706.4,9.2,25.4,27,2.2,0.0,0.002526135741501533,0.0025229504238448238,0.0025261330548047097
1,2,sep,thu,92.9,137.0,706.4,9.2,22.4,34,2.2,0.0,0.003454783008800132,0.0034488289553488223,0.0034547761363623707
1,2,sep,sun,93.5,149.3,728.6,8.1,25.3,36,3.6,0.0,0.00800593159404896,0.007974054149768973,0.008005846071037928
6,5,mar,sat,91.7,35.8,80.8,7.8,17.4,25,4.9,0.0,0.00799376845777681,0.007961987544528898,0.007993683323969544
6,5,aug,sat,90.2,96.9,624.2,8.9,14.7,59,5.8,0.0,0.009933277259318843,0.00988426655148383,0.009933113907384996
8,6,mar,fri,91.7,35.8,80.8,7.8,17.4,24,5.4,0.0,0.0018872842504517665,0.0018855055670999189,0.0018872831300839642
8,6,aug,sun,92.3,85.3,488.0,14.7,20.8,32,6.3,0.0,0.0012854537331939316,0.001284628244886086,0.0012854533791818664
8,6,aug,sun,91.4,142.4,601.4,10.6,18.2,43,4.9,0.0,8.218998050638776e-05,8.218660309496357e-05,8.21899804138529e-05
8,6,aug,mon,91.1,103.2,638.8,5.8,23.4,22,2.7,0.0,0.0031148125401274647,0.0031099715614365093,0.0031148075034483566
4,4,sep,sun,89.7,90.0,704.4,4.8,17.8,64,1.3,0.0,0.0030090644105917365,0.0030045462376580424,0.003009059869680575
3,4,feb,sat,83.9,8.0,30.2,2.6,12.7,48,1.8,0.0,0.00730254084368745,0.007276006393265971,0.007302475939969494
3,4,mar,sat,69.0,2.4,15.5,0.7,17.4,24,5.4,0.0,0.008451885548650916,0.008416368348539868,0.008451784923158023
3,4,aug,sun,91.4,142.4,601.4,10.6,11.6,87,4.5,0.0,0.009890643831933284,0.009842051557447292,0.009890482574287877
3,4,aug,sun,91.4,142.4,601.4,10.6,19.8,39,5.4,0.0,0.007940481158016613,0.007909121435643799,0.007940397715414452
3,4,aug,sun,91.4,142.4,601.4,10.6,19.8,39,5.4,0.0,0.009486950908812668,0.009442232395791074,0.009486808601651521
3,4,aug,tue,88.8,147.3,614.5,9.0,14.4,66,5.4,0.0,0.00588411451146291,0.005866870719570495,0.0058840805574315235
2,4,aug,tue,94.8,108.3,647.1,17.0,20.1,40,4.0,0.0,0.00914297165454298,0.009101427720546566,0.00914284427225229
2,4,sep,sat,92.5,121.1,674.4,8.6,24.1,29,4.5,0.0,0.009876858495173543,0.009828401138036152,0.009876697910857454
2,4,jan,sat,82.1,3.7,9.3,2.9,5.3,78,3.1,0.0,0.006279874398927327,0.006260238153585646,0.0062798331226267545
4,5,mar,fri,85.9,19.5,57.3,2.8,12.7,52,6.3,0.0,0.00776696033070258,0.007736952772502492,0.007766882239753558
4,5,mar,thu,91.4,30.7,74.3,7.5,18.2,29,3.1,0.0,0.00023901986967420248,0.0002389913089761379,0.00023901986739831513
4,5,aug,sun,90.2,99.6,631.2,6.3,21.4,33,3.1,0.0,0.0013090546040780745,0.0013081985391090079,0.0013090542302068848
4,5,sep,sat,92.5,88.0,698.6,7.1,20.3,45,3.1,0.0,0.006993605071523535,0.00696926324111052,0.0069935480615289465
4,5,sep,mon,88.6,91.8,709.9,7.1,17.4,56,5.4,0.0,0.009002171436351762,0.008961893436898268,0.009002049848880037
4,4,mar,fri,85.9,19.5,57.3,2.8,13.7,43,5.8,0.0,0.008563506261698826,0.00852704743766849,0.0085634015965691
3,4,mar,fri,91.7,33.3,77.5,9.0,18.8,18,4.5,0.0,0.008997255992172808,0.008957021835735036,0.00899713460376257
3,4,sep,sun,89.7,90.0,704.4,4.8,22.8,39,3.6,0.0,0.003420281304103107,0.0034144454450706686,0.0034202746355137498
3,4,sep,mon,91.8,78.5,724.3,9.2,18.9,35,2.7,0.0,0.0017254976299035801,0.0017240106691205571,0.0017254967736709266
3,4,mar,tue,88.1,25.7,67.6,3.8,15.8,27,7.6,0.0,0.0013201065401911,0.001319235965635591,0.001320106156770308
3,5,mar,tue,88.1,25.7,67.6,3.8,15.5,27,6.3,0.0,0.0008776402137952635,0.0008772553128094851,0.0008776401011278623
3,4,mar,sat,91.7,35.8,80.8,7.8,11.6,30,6.3,0.0,0.006680384901111258,0.006658170011026435,0.006680335213028697
3,4,mar,sat,91.7,35.8,80.8,7.8,15.2,27,4.9,0.0,0.008151956646622644,0.008118908928931443,0.008151866358028533
3,4,mar,mon,90.1,39.7,86.6,6.2,10.6,30,4.0,0.0,0.004432199489798547,0.004422406220126917,0.004432184978501866
3,4,aug,thu,93.0,75.3,466.6,7.7,19.6,36,3.1,0.0,0.002884056190955641,0.0028799052799577795,0.0028840521927997655
3,4,aug,mon,91.5,145.4,608.2,10.7,10.3,74,2.2,0.0,0.004458104966952863,0.004448197053103981,0.004458090199717817
3,4,aug,mon,91.5,145.4,608.2,10.7,17.1,43,5.4,0.0,0.0063328827333648426,0.006312914292362816,0.006332840402979944
3,4,sep,sun,92.4,124.1,680.7,8.5,22.5,42,5.4,0.0,0.000967516676857452,0.0009670489342723173,0.0009675165259105834
3,4,sep,tue,84.4,73.4,671.9,3.2,17.9,45,3.1,0.0,0.0020562044055559264,0.0020540933106768925,0.002056202956625562
3,4,sep,fri,94.3,85.1,692.3,15.9,19.8,50,5.4,0.0,0.002443720516375749,0.0024407394869420465,0.0024437180841536794
3,4,oct,sun,92.6,46.5,691.8,8.8,20.6,24,5.4,0.0,0.0008614803139391589,0.000861109452751206,0.0008614802073814667
3,5,mar,mon,87.6,52.2,103.8,5.0,9.0,49,2.2,0.0,0.0010785984518297386,0.0010780171824529236,0.0010785982426940734
3,5,sep,fri,93.5,149.3,728.6,8.1,17.2,43,3.1,0.0,0.006638076787319629,0.006616141772967726,0.006638028037320929
3,5,oct,wed,91.4,37.9,673.8,5.2,15.9,46,3.6,0.0,0.005445610416910555,0.0054308366908727155,0.005445583502317932
2,5,oct,sun,92.6,46.5,691.8,8.8,15.4,35,0.9,0.0,0.007523819495920228,0.007495656738802453,0.007523748511567935
4,6,feb,sat,68.2,21.5,87.2,0.8,15.4,40,2.7,0.0,0.0001948899729132501,0.00019487098432948227,0.00019488997167952833
4,6,mar,mon,87.2,23.9,64.7,4.1,14.0,39,3.1,0.0,0.0069220784177872075,0.006898230819691091,0.006922023139159387
4,6,mar,sun,89.3,51.3,102.2,9.6,10.6,46,4.9,0.0,0.0004767754385114429,0.000476661817215289,0.0004767754204484227
4,6,sep,thu,93.7,80.9,685.2,17.9,17.6,42,3.1,0.0,0.006500335960968703,0.006479299888978574,0.006500290183134544
3,5,mar,tue,88.1,25.7,67.6,3.8,14.9,38,2.7,0.0,0.0057564787491631965,0.005739973536347446,0.005756446957097495
3,5,aug,sat,93.5,139.4,594.2,20.3,17.6,52,5.8,0.0,0.007279839033218808,0.0072534689078828565,0.007279774732929254
3,6,sep,sun,92.4,124.1,680.7,8.5,17.2,58,1.3,0.0,0.001280870814539278,0.0012800511993236972,0.0012808704643001167
3,6,sep,mon,90.9,126.5,686.5,7.0,15.6,66,3.1,0.0,0.003851709324998185,0.003844310485336806,0.0038516998012272227
9,9,jul,tue,85.8,48.3,313.4,3.9,18.0,42,2.7,0.0,0.36,0.30748469974796055,0.35227423327508994
1,4,sep,tue,91.0,129.5,692.6,7.0,21.7,38,2.2,0.0,0.43,0.3576744442718159,0.41687080242921076
2,5,sep,mon,90.9,126.5,686.5,7.0,21.9,39,1.8,0.0,0.47,0.3852624007906449,0.4528862853790683
1,2,aug,wed,95.5,99.9,513.3,13.2,23.3,31,4.5,0.0,0.55,0.4382549309311553,0.5226872289306592
8,6,aug,fri,90.1,108.0,529.8,12.5,21.2,51,8.9,0.0,0.61,0.47623417899637155,0.5728674601004813
1,2,jul,sat,90.0,51.3,296.3,8.7,16.6,53,5.4,0.0,0.71,0.5364933705145685,0.6518337710215366
2,5,aug,wed,95.5,99.9,513.3,13.2,23.8,32,5.4,0.0,0.77,0.5709795465857378,0.6961352386273567
6,5,aug,thu,95.2,131.7,578.8,10.4,27.4,22,4.0,0.0,0.9,0.6418538861723947,0.7833269096274833
5,4,mar,mon,90.1,39.7,86.6,6.2,13.2,40,5.4,0.0,0.95,0.6678293725756554,0.8134155047893737
8,3,sep,tue,84.4,73.4,671.9,3.2,24.2,28,3.6,0.0,0.96,0.6729444732424258,0.8191915683009983
2,2,aug,tue,94.8,108.3,647.1,17.0,17.4,43,6.7,0.0,1.07,0.7275486072772779,0.8772005042746817
8,6,sep,thu,93.7,80.9,685.2,17.9,23.7,25,4.5,0.0,1.12,0.7514160886839212,0.9001004421765051
6,5,jun,fri,92.5,56.4,433.3,7.1,23.2,39,5.4,0.0,1.19,0.7839015438284094,0.9283689672491666
9,9,jul,sun,90.1,68.6,355.2,7.2,24.8,29,2.2,0.0,1.36,0.8586616190375188,0.9778646024353163
3,4,jul,sat,90.1,51.2,424.1,6.2,24.6,43,1.8,0.0,1.43,0.887891257352457,0.9901045603371778
5,4,sep,fri,94.3,85.1,692.3,15.9,20.1,47,4.9,0.0,1.46,0.9001613499442714,0.9938683634116449
1,5,sep,sat,93.4,145.4,721.4,8.1,29.6,27,2.7,0.0,1.46,0.9001613499442714,0.9938683634116449
7,4,aug,sun,94.8,108.3,647.1,17.0,16.4,47,1.3,0.0,1.56,0.9400072584914712,0.9999417202299663
2,4,sep,sat,93.4,145.4,721.4,8.1,28.6,27,2.2,0.0,1.61,0.9593502213346021,0.9992316344213905
2,2,aug,wed,92.1,111.2,654.1,9.6,18.4,45,3.6,0.0,1.63,0.9669838461896731,0.9982479743776325
2,4,aug,wed,92.1,111.2,654.1,9.6,20.5,35,4.0,0.0,1.64,0.9707789171582246,0.9976063813191737
7,4,sep,fri,92.4,117.9,668.0,12.2,19.0,34,5.8,0.0,1.69,0.9895411936137477,0.9929036510941185
